Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772069295,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772069296,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,341.2555420072749,341.2555420072749,341.2555420072749,341.2555420072749,92.0
1772069296,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,341.2555420072749,341.2555420072749,341.2555420072749,341.2555420072749,92.0
1772069297,1,GET,/,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,310.0,323.8901669974439,306.52479198761284,341.2555420072749,92.0
1772069297,1,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,310.0,323.8901669974439,306.52479198761284,341.2555420072749,92.0
1772069298,1,GET,/,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,310.0,323.8901669974439,306.52479198761284,341.2555420072749,92.0
1772069298,1,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,310.0,323.8901669974439,306.52479198761284,341.2555420072749,92.0
1772069299,1,GET,/,1.000000,0.000000,630,630,630,630,630,630,630,630,630,630,630,3,0,340.0,427.3119166609831,306.52479198761284,634.1554159880616,92.0
1772069299,1,,Aggregated,1.000000,0.000000,630,630,630,630,630,630,630,630,630,630,630,3,0,340.0,427.3119166609831,306.52479198761284,634.1554159880616,92.0
1772069300,1,GET,/,0.666667,0.000000,620,620,630,630,630,630,630,630,630,630,630,4,0,340.0,475.72169799968833,306.52479198761284,634.1554159880616,92.0
1772069300,1,,Aggregated,0.666667,0.000000,620,620,630,630,630,630,630,630,630,630,630,4,0,340.0,475.72169799968833,306.52479198761284,634.1554159880616,92.0
